run	Capacity.state0	Capacity.state1	Capacity.state2	CarryingProportion.state0	CarryingProportion.state1	CarryingProportion.state2	GrowthRate.state0	GrowthRate.state1	GrowthRate.state2	f_migrationRatesSkyline.state0_to_state1	f_migrationRatesSkyline.state0_to_state2	f_migrationRatesSkyline.state1_to_state0	f_migrationRatesSkyline.state1_to_state2	f_migrationRatesSkyline.state2_to_state0	f_migrationRatesSkyline.state2_to_state1
21	0.126442	-0.589331	-1.441467	0.373526	0.509059	0.684923	-0.669559	-0.644182	-0.723357	0.506678	0.392184	0.105241	0.249881	0.241067	1.711820
22	0.308686	0.737153	1.775239	0.786744	0.269223	0.558106	-0.429942	-0.699906	-0.873032	0.454674	0.665228	0.194407	0.175299	0.628221	0.178764
23	0.076941	-0.682022	-1.531825	0.986210	0.455736	0.323187	-0.556496	-0.508769	-0.219434	0.061607	0.598075	0.289769	0.841474	0.221550	0.399317
24	-1.192303	-0.619486	0.098815	0.583011	0.340340	0.514700	-0.584257	-0.919364	-0.721926	0.126598	0.350322	1.953693	0.077313	0.128852	0.199947
25	-0.828235	-1.788048	1.152106	0.273327	0.963581	0.968726	-0.674342	-0.785431	-0.380839	0.446461	0.062120	0.548498	2.508085	0.164995	0.729750
26	-0.916800	-1.055000	-0.096564	0.429958	0.599398	0.659402	-0.366415	-0.481372	-0.591434	0.109006	0.339528	0.937970	0.387570	0.245399	0.364155
27	-0.277359	-1.731917	-0.152714	0.691340	0.700958	0.742084	-0.405256	-0.512566	-0.663154	0.083682	0.507486	0.993449	0.286561	0.355078	0.393666
28	0.486924	-1.499046	1.066223	0.621837	0.827794	0.988603	-0.597690	-0.688157	-0.650222	0.282977	0.497334	0.411878	0.948027	0.008633	0.855212
29	0.917044	-1.491591	-0.776693	0.894938	0.368841	0.519865	-0.410217	-0.829388	-0.659527	0.948623	0.154585	0.175758	0.374572	0.402495	0.570558
30	-1.622951	-0.770768	-1.302939	0.740356	0.701041	0.963934	-0.616026	0.078440	-0.621312	0.400974	0.021212	0.054750	0.127093	0.671140	0.430986
31	-0.375059	1.013511	-1.013727	0.528166	0.700673	0.400577	-0.656789	-0.746664	-0.175530	0.552817	0.046274	0.059213	0.137314	0.287978	0.109212
32	0.943916	-0.755908	-1.194660	0.492088	0.441429	0.281992	-0.317679	-0.789248	-0.197923	0.679883	0.337543	0.355845	0.411378	0.457230	0.722484
33	0.021783	-0.650254	-0.193797	0.401575	0.489373	0.323129	-0.313687	-0.794855	-0.229103	0.803967	0.108077	1.242561	0.133460	0.384175	0.052356
34	-2.222610	0.767229	0.191061	0.643957	0.311802	0.745571	-0.636778	-0.459267	-0.259794	0.093000	0.328301	0.412141	0.450143	0.106528	0.222892
35	0.016611	-0.182241	-0.270327	0.421248	0.446572	0.882446	-0.187775	-0.370289	-0.433102	0.110724	0.253830	0.084525	0.161922	0.375015	0.234227
36	0.026716	-0.411743	-0.560260	0.416553	0.717158	0.870653	-0.718456	-0.343733	-0.942277	0.625740	0.675984	0.021571	1.936915	1.296141	0.321150
37	0.556352	-0.595185	0.855997	0.385980	0.272573	0.454505	-0.249466	-0.453324	-0.669826	0.216974	0.556693	0.748503	0.690578	0.186464	0.246443
38	-0.193812	0.454782	-0.942401	0.921968	0.843972	0.972596	-0.263370	-0.356538	-0.234637	0.339984	0.621301	0.389357	0.214783	0.026592	0.090567
39	1.431440	0.648968	0.124220	0.265894	0.721758	0.659240	-0.506724	-0.755957	-0.318926	0.167519	0.462694	0.099335	1.162848	0.555906	0.017783
40	0.106825	0.512926	0.991764	0.718281	0.688511	0.299058	-0.743577	-0.652239	-0.071461	0.236478	0.358590	0.247622	0.248691	0.409502	0.062938
41	-0.283004	1.103957	0.604784	0.492479	0.890927	0.278338	-0.429199	-0.404116	-0.452911	0.103760	0.870711	0.602591	0.849059	0.333967	0.075728
42	-0.634662	-0.441252	-0.426096	0.368232	0.721448	0.710569	-0.862869	-0.471655	-0.550247	0.080524	0.437283	0.514705	0.090483	0.080542	0.530370
43	-0.826569	0.048749	0.322270	0.967561	0.483691	0.812996	-0.666534	-0.707090	-0.419285	0.763209	0.187436	0.194395	0.088087	0.023477	0.002498
44	-0.310133	-1.561771	2.346732	0.662913	0.601710	0.451031	-0.773083	-0.356944	-0.311233	0.143513	0.530003	0.720936	2.068617	0.062823	0.039591
45	1.543250	-0.223641	-0.386679	0.672020	0.514380	0.648112	-0.553176	-0.735713	-0.558957	1.386306	0.386353	0.122962	0.691779	0.110389	0.151463
46	0.401280	-0.412128	1.880856	0.759309	0.931173	0.497417	-0.406419	-0.324856	-0.371691	0.115637	0.202726	0.051349	0.489529	0.203125	0.694869
47	0.128268	-0.638436	-0.907139	0.885987	0.919079	0.468541	-0.368601	-0.637229	-0.736932	0.729749	0.084683	0.097066	0.327239	2.048009	0.058325
48	-0.470159	1.275877	0.814109	0.986737	0.346965	0.594639	-0.309715	-0.563056	-0.098653	0.472340	0.166661	2.389910	0.165994	0.783088	0.461115
49	0.299070	-0.136512	0.156403	0.882052	0.397560	0.530662	-0.856746	-0.901197	-1.029624	1.196649	0.127081	1.242472	2.319406	0.018154	0.044373
50	-0.692223	0.705001	0.968364	0.590513	0.303075	0.445312	-0.627186	-0.599790	-0.659559	0.452734	0.534315	0.034001	0.053852	0.426085	0.474386
51	-1.902080	1.564955	-1.317932	0.759313	0.762987	0.915349	-0.713075	-0.423576	-0.980792	0.727465	0.004640	0.033188	0.086799	0.397183	0.133307
52	0.169096	0.263198	-0.089595	0.793979	0.688168	0.906377	-0.529829	-0.170361	-0.217780	0.270473	0.183569	0.442494	0.392707	0.024657	0.727921
53	0.061094	-1.195269	-0.089919	0.432726	0.713899	0.636211	-0.705989	-0.569270	-0.551912	2.708820	0.022715	0.059140	0.002505	0.464370	0.850907
54	-1.264764	0.924927	-0.367565	0.405089	0.921535	0.705585	-0.473828	-0.919744	-0.824558	0.740728	0.275851	1.284955	1.078751	0.823748	0.327881
55	-1.147593	-0.230747	-1.062614	0.340157	0.693228	0.511649	-0.551917	-0.039663	-0.487420	1.416778	0.455737	0.250480	0.033361	0.385849	0.852690
56	0.349650	-1.880197	0.380946	0.674697	0.767009	0.395940	-0.363022	-0.478680	-0.451449	0.577196	0.649579	2.484088	0.461174	0.858097	0.512620
57	-0.673870	0.727448	0.336483	0.786490	0.261597	0.683031	-0.833716	-0.400688	-1.027136	0.571462	0.261576	0.154616	0.208775	0.131230	0.532659
58	-0.057217	0.817867	-1.189751	0.348017	0.658562	0.521111	-0.879269	-0.534011	-0.984134	0.457985	0.080176	0.893049	0.408710	1.005198	0.210917
59	-0.327392	-0.327506	1.916794	0.584089	0.452413	0.373444	-0.167445	-0.547170	-0.792121	1.001560	0.111554	0.234339	1.775239	0.345260	0.731310
60	-2.509186	-0.909352	-0.595343	0.612549	0.877400	0.538987	-0.917088	-0.744720	-0.904434	1.025163	0.588111	0.529186	0.233487	0.239529	0.142072
61	0.453495	0.361885	-0.866819	0.719335	0.668299	0.456048	-0.313542	-0.501833	-0.276401	1.059704	0.814307	0.349863	0.032026	0.837556	1.333416
62	-0.856571	-1.623372	0.346498	0.450404	0.900582	0.623150	-0.660267	-0.095029	-0.379194	0.650585	0.139981	0.254182	0.134307	0.159213	1.378500
63	-0.306307	-0.835003	0.087329	0.333845	0.513915	0.348484	0.008383	-0.468327	-0.363064	0.039943	0.516472	1.459371	0.345126	0.203417	0.382565
64	-2.070303	-1.321295	-0.221584	0.884173	0.649354	0.952877	-0.363057	-0.657918	-0.586677	3.542951	0.889767	1.188582	0.063909	0.019645	0.059667
65	-0.473797	0.889726	0.154613	0.542495	0.745747	0.779226	-0.812386	-0.603623	-1.268765	0.065804	0.063861	0.072931	0.682943	0.071913	0.305855
66	-1.773275	-0.327675	-0.069956	0.632085	0.841853	0.630489	-0.583586	-0.323521	-0.747756	0.046967	0.044854	0.031398	0.256774	0.235950	1.218869
67	1.883106	-0.416201	-0.365681	0.811040	0.678889	0.704484	-0.234936	0.022221	-0.481677	0.424553	0.988586	0.716981	0.151161	0.427475	1.245434
68	-0.818552	0.061156	1.056564	0.699101	0.400112	0.857037	-0.840750	-0.380065	-0.233647	0.304602	0.371331	0.076905	0.258839	0.338713	0.306844
69	0.667221	0.563027	-0.216114	0.979865	0.951654	0.305567	-0.702191	-0.087639	-0.650853	0.424255	0.179223	0.059713	0.892608	0.392364	1.229207
70	1.332222	-1.856304	0.717491	0.381893	0.984500	0.349053	-0.836531	-0.652118	-0.561887	0.055484	0.176337	0.294376	0.004869	1.810095	0.911471
71	-1.951390	-0.001270	0.083629	0.622244	0.331161	0.703215	-0.573899	-0.158197	-0.362676	0.554312	0.020025	0.452565	0.778161	0.502420	0.515497
72	0.319366	0.713091	1.790967	0.497022	0.380022	0.949095	-0.428668	-0.204130	-0.105701	0.100984	1.172308	0.201028	0.094760	0.308132	0.075725
73	-0.162504	1.039288	-1.175536	0.456395	0.928124	0.363310	-0.566395	-0.231811	-0.794380	1.921224	0.030427	0.692957	0.041906	0.842356	0.096929
74	0.520772	0.153870	-0.359460	0.980343	0.975918	0.561131	-0.973242	-0.888782	-0.437966	0.687607	0.809188	0.051739	0.476229	0.301662	0.631078
75	1.537463	-0.455028	1.750733	0.859689	0.888245	0.863322	-0.336564	-0.843638	-0.816678	0.068616	0.294506	0.916604	0.987939	0.326447	0.075584
76	1.517668	-0.760920	2.307780	0.911274	0.864277	0.291149	-0.474281	-0.605573	-0.296935	0.556696	0.887831	0.087018	0.058007	0.445433	0.217802
77	-0.855143	0.607484	-0.664546	0.551380	0.937043	0.337413	-0.654303	-0.631663	-0.368934	0.509736	0.301483	0.043277	0.175269	0.008367	0.298250
78	0.184940	-0.171660	0.929405	0.975987	0.759705	0.309348	-0.686548	-0.585544	-0.168543	0.086715	0.673903	0.104703	0.130333	0.126325	0.301317
79	-0.289993	1.435785	-0.346799	0.283824	0.474613	0.503607	-0.411636	-0.612044	-0.721931	0.846088	0.922318	0.054970	0.805038	0.391318	0.605733
80	0.915363	-0.496355	-0.559345	0.999140	0.276205	0.976120	-0.345842	-0.525337	-0.501226	0.051106	1.196312	0.451809	0.011080	0.446589	0.652477
81	1.781250	0.384442	-1.368044	0.354030	0.258082	0.928010	-0.792308	-0.322113	-0.304957	0.225918	0.060275	0.533404	0.195379	1.158305	0.044819
82	0.397228	-0.037224	-0.872610	0.290770	0.369571	0.309772	-0.396546	-0.355750	-0.074095	0.829579	0.079014	1.500949	0.224877	1.359748	1.409985
83	-0.658776	1.366597	0.145696	0.533629	0.880731	0.659789	-0.708936	-0.221988	-0.878118	0.949041	1.135497	2.542261	0.849613	0.172093	0.107563
84	0.586054	-0.889567	-0.233691	0.768714	0.346707	0.681789	-0.584243	-0.468212	-0.410097	0.614373	0.431966	0.731052	0.567950	0.952191	1.131526
85	-1.732734	2.155914	0.859140	0.839932	0.544058	0.961253	-0.649525	-0.219991	-0.960881	0.747916	0.503615	0.012153	0.685738	0.031817	1.138468
86	-0.232074	2.284896	0.076271	0.832256	0.861200	0.552001	-0.134870	-0.705559	-0.440644	0.159815	0.116398	0.008839	1.161933	0.221959	0.092306
87	2.074430	-0.145473	0.350241	0.931217	0.677749	0.324601	-0.419474	-0.728647	-0.131483	1.157243	0.923092	0.259267	0.125614	0.182017	0.527204
88	1.058629	-0.130961	-0.997498	0.690801	0.999667	0.311152	-0.816287	-0.613211	-0.570859	0.950809	0.471700	0.093693	1.032091	0.416730	0.618906
89	-0.263824	-0.719836	0.498287	0.854246	0.472916	0.323247	-0.903367	-0.543339	-0.505001	0.791279	0.098322	1.277353	0.689485	0.383712	0.168479
90	1.547709	0.011968	1.932721	0.985572	0.901989	0.709184	-0.591456	-0.767901	-0.800028	0.559791	0.286785	0.104024	0.548743	0.604115	1.368040
91	0.451416	1.381101	-0.346195	0.805335	0.753844	0.789621	-0.447990	-0.484904	-0.422093	0.339782	0.067556	0.172657	0.520484	0.123697	0.500163
92	-0.885225	0.499274	1.302239	0.647701	0.803771	0.410645	-0.650643	-0.548421	-0.238199	0.062328	0.707982	0.224378	0.831630	0.570821	0.021659
93	1.114346	-0.006097	-0.743503	0.486493	0.928202	0.693125	-0.630066	-0.665283	-0.463050	0.089943	0.468748	0.152441	1.426953	1.052310	0.271027
94	-0.297930	0.259570	0.263431	0.338833	0.454352	0.737184	-0.494460	-0.766620	-0.870959	0.183535	0.021694	0.491344	0.463940	0.331007	0.537448
95	-0.249470	-1.441510	-0.154699	0.311552	0.785418	0.765276	-0.918680	-0.318983	-0.525006	0.298999	0.003187	0.320669	1.760777	0.477563	0.150592
96	-1.614583	-1.078717	-0.524642	0.879516	0.277435	0.799854	-0.728810	-0.467841	0.011651	0.620851	0.902914	0.466344	0.381708	0.046326	0.335731
97	0.704067	-0.840271	-0.093090	0.634919	0.425164	0.532082	-1.084646	-0.345196	-0.420238	0.160625	1.647080	0.426105	1.286548	0.894485	0.631466
98	-1.477340	1.089121	0.301280	0.309660	0.776770	0.522664	-0.732673	-0.671902	-0.157435	0.638997	0.539672	0.554472	0.109329	0.388952	0.150075
99	0.111966	0.335711	-0.669356	0.555071	0.753678	0.375355	-0.650554	-0.268669	-0.776028	0.720046	0.778097	0.199655	1.044006	0.438896	0.327048
100	-0.380505	0.343439	-0.621909	0.514415	0.959821	0.787164	-0.370319	-0.940951	-0.430820	1.434377	1.607640	0.064492	0.270844	2.133903	0.014089
