run	SkylineNe.state0.1	SkylineNe.state0.2	SkylineNe.state0.3	SkylineNe.state0.4	SkylineNe.state0.5	SkylineNe.state0.6	SkylineNe.state0.7	SkylineNe.state0.8	SkylineNe.state0.9	SkylineNe.state0.10	SkylineNe.state0.11	SkylineNe.state1.1	SkylineNe.state1.2	SkylineNe.state1.3	SkylineNe.state1.4	SkylineNe.state1.5	SkylineNe.state1.6	SkylineNe.state1.7	SkylineNe.state1.8	SkylineNe.state1.9	SkylineNe.state1.10	SkylineNe.state1.11	f_migrationRatesSkyline.state0_to_state1	f_migrationRatesSkyline.state1_to_state0
11	-0.804871	-0.519559	0.017184	0.094360	-0.502864	-1.145498	-1.485389	-1.501427	-2.460257	-2.672436	-2.019868	-0.241892	0.011009	0.404350	0.932138	0.946414	1.097708	0.929835	1.688100	1.988340	1.822156	0.737628	3.739639	0.812067
12	0.556427	-0.033287	0.266802	0.795839	0.636556	0.609273	-0.190294	-0.087763	0.801136	1.216985	2.007134	0.600167	0.839853	0.714392	1.173083	1.517961	1.122556	0.466097	0.479503	0.132587	-0.113760	0.550100	1.779459	0.424249
13	0.251521	0.006759	0.186765	-0.369301	0.187421	1.130686	0.786357	0.754888	0.363370	0.966954	0.374741	0.258062	-0.318563	-1.326155	-0.205154	-0.192787	-0.292480	-0.382066	-0.524854	-0.706889	-0.169258	-0.378124	1.015521	1.369315
14	0.086904	0.761303	1.679888	1.725598	1.477096	1.205150	0.949984	0.786644	1.323459	1.331687	2.079797	-1.468713	-1.619392	-1.403291	-1.210350	-1.549578	-1.741691	-1.757565	-1.264359	-0.784449	-1.613834	-1.878690	0.462098	0.539203
15	-0.962111	-0.594078	-0.639758	-0.556949	-0.428338	0.365037	0.010006	0.545991	0.292649	-0.216972	-0.039967	-0.019585	-0.630847	-0.585463	-0.437716	-0.074695	0.639717	1.081034	1.636139	0.876982	1.205117	1.488639	1.043113	1.366390
16	1.519405	2.519033	2.183472	1.812373	1.174444	0.608729	0.742675	-0.416035	-0.119899	0.230387	-0.000151	0.435895	0.517762	0.977390	1.697860	1.095520	2.157489	1.734782	2.581530	2.491193	2.602885	3.093874	0.876379	0.323005
17	-0.321324	0.240988	0.609337	0.948665	0.229031	0.885044	1.008544	0.513225	0.699478	1.085011	1.360933	1.460339	1.322593	1.822261	2.866896	1.535503	1.984476	1.914773	2.268003	2.353132	2.972733	3.312763	0.424354	0.064070
18	0.370243	0.509322	1.167200	1.734305	2.272333	2.186423	2.246055	3.481168	4.124395	4.277001	3.852423	0.227429	0.589072	1.838750	2.429461	2.426404	3.152267	2.667203	2.822543	1.969593	2.135166	2.117395	0.163785	0.009671
19	-0.677459	-0.177389	-1.040691	-0.405311	-0.898064	-1.440864	-1.181856	-1.538602	-0.875559	-0.582205	-0.165959	0.362670	0.080929	-0.060469	0.251233	0.766107	0.691599	0.451712	0.344385	-0.593347	0.325477	0.291471	3.262743	1.311161
20	-1.044338	-1.461263	-2.445169	-2.757792	-3.002092	-3.763534	-3.320970	-2.860819	-3.139545	-2.662635	-2.457076	1.571568	0.714735	0.604868	0.987654	1.320734	0.645434	0.007754	0.676793	-0.523458	-0.388205	-0.425366	1.313824	0.960225
21	-0.808875	-1.476410	-1.540303	-1.868526	-1.953092	-0.802550	-0.490617	-0.608708	-0.817426	-0.803075	-1.340123	0.515129	1.332958	1.218391	0.767358	0.729793	1.372224	1.722688	1.849471	2.107998	1.895541	2.066271	0.483315	1.099290
22	-0.810655	-0.768286	-0.933879	-0.549872	-0.646927	-0.629385	-0.802463	-1.510842	-0.837748	-1.584633	-2.226952	-0.254140	-0.425312	0.293942	-0.236070	-0.298865	-0.644232	-1.582147	-1.554275	-1.833844	-1.847927	-1.787498	0.910345	0.358566
23	0.176004	0.425926	0.307250	-0.097904	0.767991	0.984740	0.808006	0.954865	1.405901	0.373845	0.041372	0.430610	0.314530	0.573240	0.359149	0.807472	0.572513	0.750345	0.353848	-0.455375	-0.074471	0.059747	0.218279	2.105939
24	0.235681	-0.477697	-1.364726	-0.935067	-1.370566	-1.341913	-1.675461	-2.244518	-2.726330	-2.599983	-2.749223	-1.159342	-1.643738	-1.963936	-1.757787	-1.645959	-2.486095	-2.403792	-1.965535	-1.458099	-1.595159	-0.981281	0.717393	0.211683
25	0.290249	0.504370	0.385020	0.011326	0.184768	1.169079	0.817462	-0.236743	-0.125837	-0.454213	0.281460	-0.020552	0.069550	-0.073349	-0.716758	-0.277702	-0.323862	-0.208121	0.359338	1.077335	1.338696	1.300831	3.657046	1.999448
26	0.853368	0.128150	-0.235204	-0.091417	-0.350873	-0.527485	-0.330623	-0.002882	0.514542	0.904996	0.378122	-0.566619	0.003794	0.250887	-0.438187	-0.534332	-1.151670	-1.082991	-0.565079	-0.480849	-0.839476	-0.582430	0.654708	0.893807
27	-0.054373	-0.331403	0.457442	1.077448	0.554073	0.402119	0.132631	0.028081	-0.519826	-1.403405	-0.945539	-1.341589	-1.364771	-1.534145	-0.738445	-1.414995	-2.210739	-2.272476	-1.887000	-1.317027	-1.528272	-1.486679	0.006713	1.623660
28	-0.777710	-0.984667	-0.619264	-1.300639	-1.455392	-1.297748	-1.367581	-0.237318	-0.619159	-1.261750	-1.026615	-0.326491	0.319076	-0.248081	-0.456307	-0.284666	-0.786663	-0.344458	-0.532035	0.069206	-0.524467	0.226352	1.586678	0.820350
29	1.007070	0.840351	0.455265	-0.278752	0.111683	-0.460175	-0.105725	0.794353	1.045181	0.832828	0.520498	-2.350741	-2.161314	-2.015623	-1.583096	-1.344351	-0.738270	-0.771538	-1.304424	-2.063316	-2.234382	-1.818753	0.702093	0.111799
30	1.120721	1.001129	0.987648	1.672227	2.274234	2.461324	2.782658	2.396245	1.673616	1.549556	1.845883	-0.397248	-0.736299	0.633142	0.285814	0.655369	-0.097914	0.367927	0.452367	1.026152	-0.394542	-0.427545	0.522918	0.890705
31	-1.200775	-2.274959	-3.104190	-2.647244	-2.410736	-1.735875	-2.082497	-3.085517	-4.255355	-4.936243	-4.926419	-0.447873	-0.718350	-0.820573	-0.471226	-0.531786	-0.380730	-0.821596	-1.105954	-0.777175	-0.813635	-1.143836	0.809008	0.839105
32	0.354679	0.479695	0.186233	-0.649609	-1.277952	-0.548369	-0.691004	-1.339117	-1.104065	-1.731971	-1.761345	0.195067	0.145241	-0.309009	-0.998861	-0.641845	-0.139528	-0.503366	-0.609914	-0.091908	-0.306746	-0.066786	1.825886	1.686201
33	0.388930	0.846997	0.962813	1.384324	1.796889	2.243237	1.896727	2.482881	2.346950	1.956215	2.083112	0.082062	-0.989881	-0.557653	-1.156557	-0.152970	0.152928	-0.150883	0.473156	0.971414	1.150784	1.499283	1.396955	0.070017
34	0.898296	1.314729	1.445228	0.698830	0.524205	0.794440	0.332536	-0.077517	-0.027094	0.407318	0.332892	-0.361204	-0.982446	-0.574820	-0.329441	0.298985	0.205995	-0.374265	0.102699	0.029383	-0.448324	-0.868251	0.880854	1.497488
35	0.067582	0.354974	0.549765	0.040597	0.253707	-0.459979	-0.385251	-0.580668	-0.944491	-0.968988	-0.679836	-2.050851	-2.467683	-2.117956	-2.472612	-2.383842	-2.573849	-1.977036	-2.078370	-2.395004	-2.347625	-2.191929	1.807952	0.979885
36	-1.104880	-1.230558	-1.461000	-1.086963	-0.671202	-1.511747	-0.887939	-1.047613	-0.849062	-0.729588	-1.340612	-0.916263	-1.475992	-1.165913	-1.393256	-1.122304	-1.051477	-0.810535	-0.483704	0.271848	0.373723	0.206628	2.212812	1.113090
37	1.168573	1.529453	1.343312	0.098755	0.891243	1.237745	0.685264	0.184402	-0.607356	-0.899893	-0.310140	-1.141835	-1.505240	-0.999662	-1.056215	-1.746153	-1.542799	-2.127782	-2.328263	-2.001766	-1.174503	-1.589853	2.533402	0.583418
38	-0.635712	-1.316086	-1.016721	-0.948883	-1.708130	-1.468518	-1.582450	-1.403933	-1.397091	-1.504190	-2.109200	-0.509924	0.134927	0.306444	0.724313	0.332282	0.024101	0.065407	0.104308	-0.722450	0.123395	0.076050	2.038085	1.451514
39	-0.217914	-0.332234	-0.976183	-1.076202	-1.235658	-2.139969	-1.789513	-1.648330	-1.490625	-1.295533	-0.984388	-1.277225	-1.705562	-1.230865	-1.805932	-2.520425	-3.565834	-3.455255	-4.234367	-4.314192	-3.853300	-3.929646	0.915819	4.848810
40	0.934335	1.251168	0.876679	-0.031964	0.914243	1.294657	0.948349	-0.237863	0.409564	0.182735	0.476396	0.410701	0.357197	0.384725	0.548740	0.758123	0.502151	1.239956	1.190463	0.776998	0.616763	0.808869	4.449406	0.788840
41	0.231464	-0.160502	-0.346205	-0.155363	-0.326194	0.388084	0.148891	0.113957	-0.292788	-0.467495	0.033655	-0.222503	-0.480695	0.357903	0.978290	1.011275	0.954789	0.767432	0.649245	-0.054102	-0.115143	0.383783	1.154972	0.089694
42	0.971274	0.734004	1.338274	1.322723	0.578971	0.421948	-0.232076	-0.413309	-0.186997	-0.629088	-0.509779	-1.124876	-2.034847	-2.082933	-1.582792	-1.078467	-0.541565	-0.906606	-0.405093	-0.737415	-0.685712	-0.700949	0.431270	0.510050
43	-0.714293	-0.536608	-0.490503	0.108882	-0.195651	0.239434	0.635156	0.371709	0.806176	0.085107	-0.100692	-1.018218	-0.769967	-0.752012	-1.535286	-2.268050	-2.216829	-1.161566	-1.666726	-1.635819	-1.467463	-1.752682	0.107320	0.709237
44	-0.002550	-0.726289	-0.119686	0.135980	0.022107	0.313784	0.045811	0.309118	0.164687	-0.147476	0.673091	-0.705154	-0.072686	-0.300475	-0.383208	-0.094156	1.028585	1.133308	1.034279	1.014195	1.078327	1.498385	1.940802	2.660880
45	-1.392740	-1.009270	-1.043310	-0.998464	-0.282360	-1.413378	-1.030098	-0.981085	-0.475208	-0.321822	-0.741162	1.007794	0.992820	0.786955	0.965521	0.958250	1.856755	2.234442	3.017461	2.868470	2.442652	3.342880	4.326996	0.311051
46	-0.747675	-1.376482	-1.472781	-1.799268	-1.460055	-0.701083	0.114102	0.629501	0.742336	0.285353	0.308856	1.173303	0.883018	0.459371	-0.131884	0.228564	-0.490986	-0.724015	-0.139896	-0.148076	0.941440	1.159057	0.662809	0.090444
47	-0.909143	-0.133060	-0.064829	-0.093816	-0.877744	-0.992857	-1.630098	-1.063510	-2.084001	-2.008182	-1.186917	0.601400	0.740041	1.199283	0.930149	0.857425	1.383114	1.771585	2.039365	1.439073	1.506577	0.935122	1.748361	0.329373
48	0.921726	1.269682	1.783187	1.978967	2.216003	2.314103	2.666528	3.465776	2.995132	3.244236	2.918921	-0.296355	-1.044536	-1.195491	-0.899574	-0.492305	-0.354255	-0.494222	-0.727969	-0.828757	-0.752162	-0.811839	0.982280	2.283236
49	0.014458	0.756045	0.435544	1.139062	1.154557	1.394865	1.111008	1.259953	1.218149	0.334786	0.571432	-2.459524	-2.491285	-2.376696	-2.987855	-2.967833	-3.097233	-2.797465	-3.285507	-3.225773	-3.358991	-4.230777	0.042040	0.132758
50	0.414606	1.768815	2.289852	1.874517	1.167092	1.560968	1.007838	0.651855	0.944389	1.187534	1.373454	-0.784121	-1.490530	-1.220481	-1.377889	-0.832001	-0.655227	0.621795	0.463903	0.682596	0.768491	0.741165	0.396461	0.505233
51	0.237529	0.957079	1.083614	1.165941	1.685086	1.462048	1.364236	1.489700	1.833842	0.958267	1.246991	0.659089	-0.074554	0.531819	0.224930	0.761935	1.157990	1.439694	1.068405	1.419714	2.214900	2.112398	0.202517	2.156019
52	1.104242	1.650480	1.608478	1.378082	1.747603	1.534968	1.930545	2.132509	2.285402	1.829843	1.601643	-0.858036	-2.093803	-1.871412	-0.698825	-0.403526	0.027636	0.279572	0.067646	-0.242694	-0.117350	-0.545776	0.565587	1.207418
53	-0.857997	-1.385223	-1.030989	-1.145554	0.040592	0.661859	0.751025	0.913838	0.755092	1.241294	1.614302	1.698000	1.617148	0.232001	0.038253	0.220801	0.627042	1.442846	1.913273	2.241843	1.717337	1.492702	0.329420	0.556941
54	1.309402	1.791720	2.644711	2.553790	2.813261	2.278203	1.955806	2.359662	3.118432	3.749649	4.086895	-0.665054	-0.873416	-0.156430	-0.569737	-0.558556	-0.817308	-1.780818	-2.626891	-3.080511	-2.688184	-2.100747	0.895918	0.095375
55	-1.261770	-0.963283	-1.126689	-0.512056	0.195561	0.148764	0.048080	-0.171626	-0.189899	0.574248	0.301814	-0.603928	-0.483336	-0.438205	-0.707278	-0.535358	-1.429036	-0.902004	-0.827289	-1.149641	-1.096574	-1.032359	1.454151	2.912931
56	-2.007823	-1.670957	-1.424060	-1.991533	-1.951726	-2.322319	-2.614836	-3.324822	-1.914842	-1.694238	-1.150688	1.401969	2.476570	3.219975	3.346712	2.702136	2.834122	1.804398	2.044583	2.433415	2.549941	2.109747	0.110795	1.174856
57	-1.138972	-1.089666	-1.808349	-2.111792	-2.441379	-1.745419	-1.756435	-1.913151	-1.484975	-1.774438	-2.180481	0.096681	-0.605180	-0.382863	-0.100101	-0.613686	0.145072	0.408747	0.371219	0.635960	-0.312645	-0.590282	2.013399	1.152133
58	1.228821	1.617673	1.598032	1.724218	2.182709	1.782335	1.841297	1.967033	2.510618	2.952500	2.444214	2.098485	2.646931	2.504977	2.580681	2.911476	3.141551	4.021165	4.297342	5.081146	3.982395	2.905992	0.962694	0.187136
59	-0.863529	-1.281868	-1.139797	-1.320968	-1.063153	-2.316401	-1.882358	-1.858865	-2.227939	-2.595103	-2.292514	1.799830	1.341835	1.340727	1.108138	1.622792	1.675560	2.072589	1.980493	2.587692	1.740939	1.154712	0.088242	0.423135
60	0.856908	1.657388	1.370377	1.443124	1.533231	1.672612	2.217108	2.878502	2.900121	3.373272	3.073261	0.098098	-0.025445	-0.961065	-0.573942	-0.103704	0.205859	0.835556	0.555908	1.706430	1.847804	2.621874	0.235292	0.183542
61	1.524402	1.398462	0.817761	0.575907	0.633273	0.726757	0.473393	-0.366793	0.301926	-0.307688	-0.579001	-0.717679	-1.051652	-0.943206	-0.281476	-0.204464	-0.265176	0.336252	-0.178815	-0.313443	-0.667581	-0.349994	1.469608	0.795018
62	0.395055	0.242354	0.822749	0.792180	1.201245	1.948955	1.910054	1.691555	1.574293	1.308925	1.308015	0.857392	0.518911	0.587498	0.463709	1.057446	0.310201	0.292159	-0.562172	-0.681394	-0.553112	-0.269439	1.879426	0.428305
63	-0.404155	-2.058571	-1.286716	-1.415014	-1.117718	-1.439410	-0.830942	-1.153034	-0.931358	-0.413738	-0.325671	-2.304002	-2.350570	-2.105471	-2.796319	-2.265620	-2.113446	-1.974654	-2.136723	-1.957563	-1.716382	-1.338437	1.138235	0.235498
64	1.250122	0.877637	1.459271	1.102498	0.723709	1.115264	1.311088	2.157003	2.482361	2.937453	2.232107	-0.198282	-0.849202	-0.818322	-0.535027	-0.249841	-0.856607	-0.764102	-0.238429	1.029021	1.298985	1.778607	1.320800	1.349469
65	-1.607214	-0.905105	-0.671563	-1.028774	-0.675727	-0.481157	-0.959403	-1.032325	-1.776640	-2.106216	-1.793175	-0.490848	-0.249927	0.420098	0.033774	0.347116	-0.465807	-0.166820	-0.286311	-0.026345	-0.325394	-1.350036	0.175746	0.853973
66	0.009501	-0.181486	-0.432177	-0.405581	0.106380	0.102552	0.204654	-0.204066	0.305545	0.063201	0.107512	0.492512	-0.416612	-0.082109	-0.280115	-0.243187	-0.019676	-0.086214	0.025826	0.416753	1.023949	1.233925	0.401787	0.184138
67	-0.308858	-0.922319	-0.590272	-0.239198	-0.381092	0.379106	0.578101	-0.075116	-0.530265	-0.525691	-0.355221	-0.141228	-0.985129	-0.001507	-0.971373	-0.575573	-0.792324	-1.161553	-0.599452	-1.889635	-2.230443	-1.527486	1.933488	2.571119
68	1.783450	0.878019	0.515907	0.078909	0.876461	0.450173	-1.075390	-0.910131	-1.150272	-0.757162	-1.096837	0.172802	-0.216790	0.681668	0.742691	0.783565	0.556682	0.106785	-0.397351	-0.117876	-0.002668	-0.233243	0.567253	3.524374
69	1.316350	1.531348	1.061542	1.173142	0.942721	1.275122	1.785640	2.352727	2.673594	2.156230	2.771787	1.109427	1.340880	1.753646	1.697937	1.387686	1.269142	0.918947	0.779602	-0.313820	0.512402	0.964488	1.128598	1.175839
70	-0.124884	-0.314101	-0.721754	-1.276334	-1.554722	-1.380138	-1.397460	-1.385220	-1.776887	-0.591284	-0.178026	-1.413306	-1.138847	-1.262492	-1.177513	-1.396378	-1.184407	-1.067396	-1.674132	-1.429667	-1.505103	-2.017043	0.299597	0.310109
71	0.917325	0.264285	-0.519732	-0.983573	-0.331712	0.119913	-0.186237	-0.869444	-0.851173	-0.737550	-1.168668	-0.384645	-0.976447	-0.988426	-1.766077	-2.020979	-2.353308	-2.183561	-1.573831	-1.828731	-1.776390	-1.608502	0.728002	1.492541
72	-1.536178	-1.522794	-0.835800	-1.101049	-0.483847	-0.950830	-0.777032	0.164229	-0.033443	-0.271605	0.163335	-0.167552	-0.089424	-0.079637	0.148250	0.487445	0.707855	1.667471	1.110717	0.757132	0.580461	0.609653	1.858891	0.615271
73	-0.540419	-0.619760	-1.137761	-0.641317	-1.788999	-1.752053	-2.205756	-2.479258	-2.390925	-1.611588	-1.621508	1.222269	1.390447	0.979104	0.977913	1.142940	0.901365	1.174219	1.574459	1.193820	1.361206	1.199902	0.199578	0.397081
74	-0.264179	0.070673	0.589977	1.021702	1.348948	1.187046	1.987796	2.283547	1.900247	2.206348	1.768332	0.695345	0.773535	0.217548	0.081428	-0.024859	0.024185	-0.290707	-0.325640	0.001312	-0.154456	-0.230236	3.193966	0.380782
75	0.647891	1.251389	0.806285	0.756515	1.065835	0.810038	0.781659	1.466075	1.737429	1.259603	1.882286	-2.145163	-2.024049	-1.542629	-1.829865	-1.966753	-1.440204	-1.199729	-0.800852	-0.744627	-0.347299	-0.644849	1.318668	0.325567
76	0.653283	-0.035190	-0.019697	-0.031357	-0.107504	0.173287	0.892247	1.214741	1.225264	2.184148	2.698596	0.510815	-0.298079	-0.588375	-0.828025	-1.258723	-1.179065	-0.543932	-0.983389	-0.510071	-0.304681	-0.328071	1.983833	3.189598
77	-0.858660	-0.518530	-0.025615	-0.196771	-0.172935	-0.128064	0.234853	-0.085041	0.609128	0.446743	0.445878	1.680615	2.275137	2.459980	2.715450	2.813696	1.759771	1.377222	1.866164	1.842077	1.960201	2.011998	0.869460	0.276217
78	-1.956852	-1.322346	-1.479370	-1.184315	-0.341490	-0.286641	-0.047999	0.100381	0.186819	0.002998	-0.834069	-0.023636	0.809651	1.517410	1.515737	1.739619	2.351902	2.055313	1.933662	1.776948	1.574064	1.919967	0.032734	1.525521
79	-1.119592	-1.101861	-1.295616	-1.605021	-2.014812	-2.849924	-3.135384	-3.123567	-2.973711	-2.807330	-3.212561	1.035686	1.471683	1.568258	1.457674	1.585627	1.736767	1.451809	2.107944	2.040802	2.429777	2.919412	2.448471	1.689018
80	-0.342776	-0.185796	-0.057014	-0.153649	-0.386158	0.154376	0.028193	-0.832920	-1.310658	-1.510673	-0.897031	0.382115	-0.083006	0.282019	0.204374	0.353016	1.057890	1.635203	1.157559	1.163432	1.393473	1.013953	1.764642	1.724866
81	-2.096971	-1.058904	-1.027306	-0.571591	-0.252652	-0.115857	0.347235	-0.056066	-0.637540	-0.843119	-0.312701	1.006084	1.693265	1.633768	0.309238	1.531061	1.102828	0.707373	0.345398	0.335833	-0.004655	0.575378	0.787287	0.638731
82	-2.101948	-1.345402	-1.533602	-1.159430	-1.266904	-1.549408	-1.079477	-0.083056	0.100033	0.281475	-0.109705	0.379516	-0.204748	-0.350927	0.134257	0.688369	-0.160513	0.049901	1.207390	1.468688	0.629759	-0.318596	0.394501	0.019423
83	0.897725	0.497890	0.212736	-0.184308	-1.125649	-1.801070	-1.724340	-1.762280	-2.460388	-1.967340	-1.566798	-0.234778	0.275299	0.579090	0.243063	0.065197	-0.288380	-1.518966	-2.070124	-1.345058	-2.373912	-2.444343	0.238854	1.569970
84	-1.135133	-1.181911	-1.183203	-1.352146	-1.367984	-1.314636	-1.785494	-1.830592	-1.681975	-2.033289	-1.356224	-0.993658	-1.520698	-1.703441	-1.487509	-1.764350	-1.144005	-0.497513	-0.356607	-0.760628	-1.248502	-0.558976	0.507222	0.327846
85	-1.008788	-2.166149	-2.561140	-2.440898	-1.940034	-2.441214	-2.571122	-2.892275	-2.343142	-2.925908	-2.282379	-0.434724	-0.204622	-0.490716	-0.676034	-0.516410	-0.498036	-0.236447	0.258753	0.230981	-0.138749	-0.709709	0.024586	0.120843
86	-1.957811	-1.653297	-2.235866	-2.557290	-3.430647	-3.661920	-3.005577	-3.157527	-2.715736	-3.237474	-3.509804	0.259674	0.660564	0.422841	-0.205771	0.119765	0.198736	-0.505932	-0.013971	-0.276343	0.038940	-0.012444	0.433046	0.540137
87	1.229177	1.082625	1.021888	0.674075	0.687117	0.887109	1.081136	1.253616	0.844648	0.366077	0.300136	2.523754	3.136657	2.405571	2.357588	2.353685	1.773511	1.446743	1.098104	0.967367	1.978514	1.695317	0.447149	1.851787
88	-0.349236	-0.658703	-0.189619	-0.505751	0.233058	-0.143090	0.047878	-0.354103	0.094690	0.125188	0.175560	0.833195	0.569479	0.796177	0.865080	0.813723	1.471135	1.670329	2.294323	1.860625	2.002295	1.975344	0.424318	1.902451
89	-1.514015	-1.638214	-2.190337	-1.395700	-0.961937	-1.469615	-1.538084	-1.648224	-1.635331	-0.786205	-0.645544	0.352993	0.606563	1.232811	1.274698	1.443038	1.037571	1.240891	1.161798	1.844566	2.125655	2.169980	1.421322	1.702618
90	0.070438	0.778883	0.459388	0.683458	0.011732	0.014687	1.135191	1.762190	2.414124	1.857327	2.425589	-1.251456	-1.297429	-1.263652	-0.162976	-0.533835	-1.042437	-1.502692	-1.353210	-1.091321	-1.555685	-1.029478	0.331216	1.743861
91	1.771522	2.709946	2.481267	3.394795	3.394790	3.458736	4.467947	4.503072	4.231204	4.148524	4.104579	-0.908971	-0.316722	-0.513875	0.014964	0.584749	0.777380	0.068563	-0.198292	0.489475	0.011685	0.404370	1.798855	0.183541
92	-0.579881	-1.259199	-1.572964	-1.716103	-1.933649	-2.201031	-2.685028	-2.125614	-1.359010	-0.561157	0.000854	0.833980	0.809847	1.088824	0.817376	0.709899	0.978096	1.340856	0.710403	1.018639	1.119480	1.748059	0.345858	0.644853
93	0.426928	0.221227	0.171371	0.265825	0.331834	0.182997	0.510894	0.390427	0.128950	0.298916	0.628749	-1.298801	-1.257431	-1.019119	-0.882938	-1.136786	-1.101381	-1.245727	-1.684074	-2.116423	-2.286291	-3.002893	2.803336	0.030771
94	-0.145590	-0.238886	-0.887390	-0.703999	-0.781726	-0.036236	-0.318029	-0.381132	0.576107	0.525098	0.476967	0.775114	0.691073	0.093646	0.053129	0.052182	0.215290	0.454675	0.961266	0.139087	1.507101	1.217865	1.378718	1.797035
95	-0.228527	0.112766	0.128469	-0.695985	0.068027	-0.110917	-0.157875	-0.055768	-0.029421	-0.691352	-1.060104	-0.044121	-0.191045	-0.408121	-0.432354	-0.682758	-0.161819	-0.627283	-0.666408	0.338890	0.388134	0.563244	1.013977	0.139126
96	0.572142	0.876975	1.458499	1.763095	2.002727	1.932548	2.047283	1.395004	0.671773	0.702677	0.884833	1.537103	2.282781	2.688008	3.115591	2.947585	3.197850	2.991077	4.390992	4.504247	3.875694	3.878684	1.469751	1.801012
97	0.251152	0.392178	0.209552	-0.020969	1.192666	1.008976	0.976618	0.984252	1.691181	1.194796	1.544719	0.146897	0.019851	-0.579498	-0.935551	-0.635437	-1.247541	-1.544192	-1.926143	-1.814134	-1.406565	-1.734886	0.480309	0.142677
98	0.979998	0.773982	1.100926	0.623461	0.433876	0.357004	1.041470	1.008263	1.503705	2.127690	1.866533	-0.550087	-0.741295	-0.323113	0.046487	-0.248120	0.118801	-0.119998	0.530858	0.580970	0.480637	1.084022	0.292013	0.423571
99	1.644132	1.473622	1.575967	1.525334	1.616854	1.628756	0.510322	0.606579	0.105069	-0.416826	-0.936416	1.164332	0.625521	0.734117	1.153613	0.344666	-0.367058	0.016693	0.139339	0.183204	0.415853	0.509879	0.295205	0.090145
100	-0.331675	-0.315627	-0.105715	0.029019	-0.734614	-0.260194	-0.333733	-1.020235	-1.277581	-0.999450	-0.532475	0.502065	0.647725	1.093467	1.354743	1.383227	1.751915	1.130515	1.307678	0.666159	1.330403	1.234737	1.070481	0.640931
