run	f_migrationRatesSkyline.state0_to_state1	f_migrationRatesSkyline.state0_to_state2	f_migrationRatesSkyline.state1_to_state0	f_migrationRatesSkyline.state1_to_state2	f_migrationRatesSkyline.state2_to_state0	f_migrationRatesSkyline.state2_to_state1
43	0.508330	1.497075	5.953548	0.264587	17.611955	4.265045
44	16.127528	11.286342	7.386588	7.488476	8.729119	0.804138
45	3.290959	5.400805	6.003093	1.751355	1.984355	3.784329
46	1.647114	7.198854	4.338119	0.385914	2.530959	1.920146
47	1.416287	0.524309	9.113959	0.684912	2.161750	3.977430
47	2.702647	8.186194	3.503517	5.693943	2.386405	26.515278
47	3.948812	11.048434	11.373956	2.353030	8.152434	1.437582
47	2.787069	8.326382	3.682117	4.662311	1.442129	3.574462
47	0.985083	4.099899	7.634229	1.410654	3.490152	1.743673
47	0.694828	2.424767	26.621205	5.983637	2.008677	3.051719
47	4.990530	7.692202	1.415927	5.713040	6.321658	4.413183
48	2.347370	3.203672	1.136100	1.412683	0.362891	1.388194
48	0.650769	2.659527	0.960797	2.217789	17.212569	1.832223
49	4.746056	2.339160	11.124997	2.361617	8.270293	6.531044
50	5.726810	0.218582	1.805722	1.766861	0.494637	6.232695
50	4.019509	0.497017	6.263776	5.286192	15.218870	2.779454
50	10.778299	0.075337	6.912278	2.458600	4.260797	19.297230
50	3.655279	12.949160	24.775962	0.746257	14.106491	4.512465
51	4.193769	1.088791	1.324609	1.015514	0.371796	1.246442
52	2.308198	0.785541	0.036277	0.425794	3.155205	0.214946
53	0.603609	0.339334	0.886055	2.428884	0.491768	2.288477
54	0.875959	0.958989	0.415561	1.713100	1.601312	1.053467
54	0.435950	1.094579	0.426590	0.775586	0.711841	1.929827
54	0.086364	0.603883	1.779040	1.066767	0.351620	1.411555
55	1.674378	0.588599	1.668902	0.029695	0.147212	0.863957
56	0.978014	2.342751	4.198411	2.130900	2.246732	1.282944
56	5.457309	1.299631	0.176256	0.730879	1.139695	0.304072
56	1.234913	0.311482	0.698582	0.308607	0.521290	2.025926
57	0.478123	0.493960	0.409246	1.830563	1.193756	1.132066
57	0.129391	0.299988	0.717275	0.575057	1.638403	0.447768
58	2.045120	3.415339	0.632721	1.291396	1.115981	1.537227
58	0.046735	0.735845	0.134117	0.442665	0.319968	0.064886
58	0.703911	0.382025	1.378364	1.512461	1.080318	0.606164
59	0.841708	2.271525	0.286711	3.708165	1.688762	0.627807
59	1.290282	0.547624	2.445546	1.611212	1.645065	0.151552
60	1.212177	1.114405	1.174826	0.293979	0.947510	3.350306
60	2.445619	2.011571	0.053016	0.667455	1.814318	0.071507
61	0.152318	3.997437	0.318505	0.071061	0.115720	1.440503
62	0.770594	2.989930	0.230978	0.037719	0.536344	0.188524
63	0.695214	0.520983	0.074500	0.427748	1.494395	0.404465
64	0.793241	0.735488	0.479698	2.427807	0.689567	0.078491
65	0.364209	0.880531	0.636283	1.487025	0.415301	3.276034
66	1.217182	1.559244	0.072592	0.444063	1.660471	0.840344
67	0.280054	1.153926	0.954748	2.206580	0.559804	0.490496
67	0.569813	0.011241	0.172096	0.251698	0.447932	0.131503
67	0.028378	0.790903	0.019072	0.032927	0.828823	0.614113
67	4.500510	0.378447	0.400814	0.300049	0.405253	0.250610
68	0.171763	1.264298	1.189133	0.006786	0.147936	1.011469
68	0.696820	0.160792	0.354125	1.284016	0.665224	0.504987
69	0.708300	0.767274	0.583703	0.263982	0.339283	0.024426
70	0.554996	0.044977	0.082390	0.571620	0.188500	1.464194
70	0.015540	0.426614	1.288829	2.050026	0.484085	0.035432
70	0.135053	0.131381	1.091492	1.140528	0.125752	0.334310
70	1.479174	1.042017	0.010793	0.604200	0.247876	0.737367
71	2.101995	0.642908	0.670852	0.430337	0.448668	2.654303
71	1.511722	2.331677	0.702193	1.105593	0.136172	1.002838
71	2.271602	1.277201	2.339679	0.124881	0.208113	1.860609
71	1.108744	0.105882	1.853093	0.127057	0.281677	0.570124
71	1.097221	0.203455	0.577858	0.515811	1.347712	0.643219
72	0.198488	0.913624	0.127907	0.540915	0.196779	0.849819
72	1.390712	1.402505	0.021536	0.588981	4.140810	0.329664
72	0.981763	1.247843	0.020468	0.219401	0.694594	0.032315
72	0.065481	0.178765	0.648197	0.125914	2.239379	0.608038
72	1.255851	2.317303	2.643317	1.998068	0.272344	6.214458
73	3.139830	2.544365	0.347767	0.122864	0.413478	0.256535
74	0.205174	0.311290	1.246627	0.073919	0.001685	0.128809
75	1.536143	0.552643	1.310938	1.278822	1.044001	0.941979
75	0.454004	1.696375	1.184348	0.273872	1.213211	0.168124
76	1.236840	0.514819	1.319486	1.441100	0.116469	0.776839
76	1.828920	2.222122	0.542454	0.763111	0.901050	0.124166
76	0.318136	0.334426	0.766295	1.310656	1.450912	0.234488
76	1.568941	1.442959	0.557642	1.174739	1.000635	2.719711
76	0.736151	3.068030	0.380328	1.268954	0.921274	0.237884
77	1.579015	0.213584	1.834781	0.712799	0.188047	1.467164
77	0.990765	0.222791	0.681858	1.152257	0.615415	1.597671
77	0.248129	2.210931	1.256200	0.328216	0.119247	0.161927
77	0.421288	0.375513	1.463958	0.445127	0.006652	0.376674
78	3.280035	0.775478	2.883423	0.299597	1.045060	0.396669
78	0.299201	2.563116	1.069883	0.173273	1.829514	0.309734
78	1.574505	1.223196	2.874640	1.179430	0.790089	0.619920
79	1.156355	0.595772	0.014764	2.924090	3.303896	0.080814
80	0.363108	1.327612	1.012905	2.557767	0.032805	0.398053
81	0.361466	0.964839	1.609899	0.159696	1.431099	0.242384
81	1.224704	0.178807	0.133443	1.117992	1.531838	0.123760
81	0.457180	1.541303	1.114134	0.290735	0.366263	0.139276
82	0.123973	0.625919	0.340645	0.434509	0.276897	0.611484
83	0.913654	0.447751	0.190757	0.003403	0.341842	0.132618
83	0.102810	0.264245	5.246639	0.377694	0.183558	0.421330
83	0.571399	1.514305	0.042277	0.266054	0.025241	0.179695
83	0.287357	3.695822	0.458019	1.208161	1.676322	2.281114
84	0.574403	0.563291	3.255564	0.535876	0.311028	0.015230
84	0.374685	0.313081	4.555047	0.165695	1.902957	0.991345
84	0.703183	2.691623	1.402650	0.384630	0.476119	0.106062
84	0.446511	0.402616	0.725096	0.618454	0.796135	0.638090
84	3.280607	0.141550	0.440080	1.627744	0.119980	0.402643
85	0.227275	2.836310	1.157547	5.027241	2.017970	0.880311
86	1.489943	0.740796	1.117681	0.326558	0.716051	0.887864
87	0.027375	0.246310	0.231269	0.838905	2.263940	0.145340
87	0.308689	0.979746	1.117925	1.476617	0.836725	1.940125
88	0.504866	1.253532	1.010875	4.991503	1.187123	1.223135
89	1.360903	1.105403	1.582308	1.016047	0.410752	0.028450
89	1.043799	0.116712	0.549537	0.786557	0.580603	0.285988
90	0.389838	0.154604	2.137445	0.738992	1.053609	3.124415
91	0.131846	0.147231	0.142237	0.561445	0.547283	2.311086
92	0.229094	1.843896	1.528712	3.069317	0.316484	0.764277
93	0.097516	0.341720	0.500507	0.350767	2.803270	0.235744
93	0.736069	0.443649	0.021864	6.499314	0.310776	0.973657
93	1.190656	0.768854	0.013891	0.427985	0.715559	1.253300
93	0.610643	0.539193	1.273732	2.008056	1.036189	0.986526
94	0.744378	0.343702	3.015048	0.561584	1.930009	0.834552
94	1.365683	0.576144	0.240214	0.119458	3.577272	0.571626
94	0.604176	0.056811	0.156493	3.490479	0.969993	0.921390
94	0.606898	0.576079	1.208439	1.093306	0.140991	0.577899
94	1.168552	0.989559	1.382684	1.006942	0.465794	0.159302
95	1.789557	2.335023	0.860904	0.936469	2.223217	0.850423
95	0.499050	0.421891	0.400485	1.683525	2.271646	0.691884
95	1.090653	5.363018	2.790374	0.375314	0.619788	1.470314
96	0.827511	0.606132	1.423033	1.482807	2.890014	0.642915
96	2.358687	2.130138	0.112074	1.325956	0.439419	2.048142
96	1.232977	0.537049	0.191524	1.460490	0.646942	1.344625
96	0.309265	0.205526	0.084811	0.848120	1.662846	0.738735
96	1.050949	0.374045	0.099550	1.078535	1.590334	0.080444
97	1.014680	0.060639	1.447590	1.701243	0.682591	0.869084
98	0.152315	0.436006	1.087824	0.572454	0.245966	1.614815
98	0.223784	1.024611	0.813957	0.904685	0.013101	1.456265
98	0.034839	0.423602	0.127127	1.777797	0.246286	0.099349
98	0.120197	0.151578	0.648361	3.490148	0.328980	0.844424
99	0.858329	0.801860	0.051007	1.612392	0.085255	3.914673
99	0.024899	0.654436	0.219743	1.040470	0.359324	0.874843
99	0.063496	0.316211	0.074359	0.902092	0.393232	1.766923
99	0.837457	0.615231	0.089231	1.154706	0.198957	1.488968
100	0.802717	0.211792	1.972660	1.376710	2.296851	1.462678
