run	NeNull.state0	NeNull.state1	NeNull.state2	GrowthRate.state0	GrowthRate.state1	GrowthRate.state2	f_migrationRatesSkyline.state0_to_state1	f_migrationRatesSkyline.state0_to_state2	f_migrationRatesSkyline.state1_to_state0	f_migrationRatesSkyline.state1_to_state2	f_migrationRatesSkyline.state2_to_state0	f_migrationRatesSkyline.state2_to_state1
29	-0.061539	-0.048901	-0.837157	-0.491683	-0.557217	-0.705059	0.249578	-1.085870	0.482836	-0.606215	-0.819737	-0.085663
30	0.828513	-0.254837	0.141880	-0.255366	-0.700505	-0.312817	0.651575	-1.227830	-0.375989	-2.002513	1.077044	-1.789297
31	-1.533392	-0.561218	-0.645372	-0.306328	-0.216597	-0.499237	-1.804877	-1.685396	-1.101506	0.226673	-1.991449	0.567610
32	0.208058	0.331372	-0.621686	0.121833	-0.582419	-0.894755	-0.522602	-0.981239	-1.076530	-1.275991	-3.204222	-1.055518
33	-0.416044	-0.275365	-1.332512	-0.736806	-0.721263	-0.756036	-0.118776	-0.400308	1.861253	0.180383	0.388137	-1.523083
34	-0.063200	-0.449322	-1.458151	-0.448926	-0.790247	-0.235011	0.137527	-1.372534	-2.251816	1.048738	-1.969521	-0.985118
35	-0.337434	-0.584866	-0.296379	-0.710026	-0.506556	-0.559385	0.063517	-1.708854	-1.124772	-1.149329	0.039060	-1.442051
36	0.039075	-0.946574	-0.285598	-0.584919	-0.795928	-0.830707	-0.624706	-3.113564	-1.260005	0.394428	0.714558	-1.376679
37	0.612714	0.211993	0.380514	-0.782075	-0.541188	-0.415926	-1.333504	-2.064799	-1.170940	-1.705924	-0.770760	-0.671338
38	1.000416	0.531419	-0.158673	0.072049	-0.412571	-0.433646	-1.624236	-1.834879	-2.926488	-0.722957	-2.069992	-2.117522
39	0.245140	-0.377450	-1.327207	-0.530883	-0.415504	-0.595602	-1.356828	0.060880	1.041511	-0.926554	0.073600	-0.302783
40	0.929005	-0.187137	-0.597524	-0.057738	-0.402638	-0.424100	-2.030526	-1.701011	-2.261443	0.368501	-0.973250	-2.967305
41	-0.288852	-0.573021	-0.609102	-0.275952	-0.990431	-0.625474	-0.830504	-2.099747	-0.485247	-1.835530	1.247295	-1.016195
42	1.124497	1.613039	-0.801613	-0.382959	-0.417211	-0.470165	-1.104203	-0.595960	-0.869756	-1.175154	-0.362847	-0.152309
43	-0.584939	-0.423046	-0.767593	-0.361509	-0.610253	-0.546470	-0.605276	-1.769208	-2.409061	-2.903784	-1.986810	-0.924242
44	-3.243176	1.032061	0.875527	-0.436943	-0.765002	-0.462374	-1.734936	-0.931679	0.149772	-0.723474	-1.333078	0.994105
45	0.136165	0.688683	-0.847832	-0.532287	-0.481091	-0.563027	-2.540481	0.525035	-2.846648	0.118871	-0.551930	-2.089419
46	0.243571	-1.007610	0.155504	-1.075942	-0.524041	-0.277228	-1.820006	-0.605295	-1.232491	-0.741434	-2.654736	-0.882669
47	0.237941	0.820204	0.263339	-0.191099	-0.835645	-0.252319	-2.485441	-1.685831	-2.097837	-1.949016	-0.320979	-1.220475
48	0.573613	1.635454	-0.546175	-0.886981	-0.310875	-0.694309	-0.331444	-0.125235	-1.705750	-2.274919	-2.496309	-0.083578
49	-0.363415	0.556293	-1.474123	-0.104175	-0.286361	-0.242765	0.828728	-2.422986	-0.266862	0.512075	-0.605162	-1.816376
50	-1.042771	1.136013	-1.249204	-0.454239	-0.343843	-0.323311	-1.092314	-1.257085	0.255356	0.102657	-0.793163	-2.229678
51	0.066242	-0.443490	-0.682251	-0.225287	-0.754411	-0.398499	0.342769	-2.536988	-0.653168	-1.745262	1.415545	-3.319031
52	0.214123	-0.872089	0.156871	-0.455307	-0.557368	-0.263562	-1.277494	-1.753447	0.032801	-1.986648	-1.686918	-0.747577
53	-0.475988	0.951560	-1.081402	-0.653699	-0.561569	-0.705761	-0.910110	0.498607	-0.190288	-0.983501	-2.352026	-2.787741
54	-0.638817	0.060366	-0.817377	-0.432358	-0.626468	-0.104833	-1.005830	0.234313	-1.490328	-0.828411	-2.292948	-0.820089
55	-0.366805	-1.460989	0.680236	-0.717216	-0.666818	-0.385185	0.061600	-0.237907	-1.039938	-0.068065	-0.263018	-1.864800
56	-0.947407	1.086428	0.348092	-0.451500	-0.575992	-0.568006	-0.190721	-1.720320	0.335346	-1.934653	-0.737104	-0.763348
57	-0.509973	0.896634	1.590050	-0.121598	-0.327969	-0.184979	-0.596125	-1.809756	-0.858658	-0.407370	-3.355512	-1.986650
58	-0.123049	0.445288	0.654003	-0.527201	-0.510468	-0.500449	0.156090	-1.570119	-1.612701	-1.137847	-0.959508	-0.604965
59	0.419902	-0.555491	-1.684165	-0.620985	-0.481229	-0.455661	-1.990251	0.023943	-0.041655	-0.273014	-0.875507	-1.652949
60	-0.180856	-0.809854	0.784394	-0.155776	-0.529187	-0.949192	-0.589629	-1.633349	0.674999	-1.395513	-2.090382	-2.253046
61	0.833918	0.274473	1.874987	-0.534287	-0.885699	-0.397358	0.316696	1.399430	-2.630066	-2.005019	-1.631874	-1.319244
62	-1.232440	-0.592107	0.327087	-0.730002	-0.663736	-0.844778	1.088417	1.266286	-0.592771	-1.716861	-0.930954	-1.174149
63	-1.224969	0.537452	0.920206	-0.688084	-0.063058	-0.706689	-0.025077	-0.256823	-0.862374	-1.533701	-2.141005	-1.881288
64	0.644697	-0.853251	-1.120874	-0.846575	-0.565580	-0.648587	-2.253047	-3.244742	-0.158492	-1.081745	-1.169835	-0.815955
65	-0.139811	-0.505043	0.109925	-0.948934	-0.443788	-0.652435	-2.032968	-0.073674	0.675707	-1.180999	-0.107617	-1.595118
66	-1.029259	-0.139873	-2.074016	-0.424614	-0.566283	-0.787869	-1.259140	0.233815	-2.681017	-2.798318	-0.464993	0.536229
67	-1.251494	-0.739919	-0.754929	-0.381541	-0.907252	-0.448558	-1.385973	-0.147978	-1.947644	0.737881	-0.936341	-1.764174
68	0.848166	-0.396777	-0.870424	-0.441084	-0.711822	-0.493071	-0.808724	-2.115648	-1.109484	-2.090213	0.092221	-0.444082
69	1.315171	-1.327028	0.536168	-0.648653	-0.759627	-0.185794	0.714923	-1.499157	-2.040902	0.795432	-1.630179	-0.638632
70	0.356835	-0.046481	1.933449	-0.627370	-0.382480	-0.196367	-0.710894	0.179686	-1.469236	-0.335015	-0.956786	0.828153
71	-0.456354	-0.600581	-0.297163	-0.662940	-0.391963	-0.520322	-0.574843	-1.296015	-0.944681	-0.482938	-1.237346	-0.879810
72	0.941485	0.707015	0.299613	-0.340841	-0.451456	-0.551525	-1.989329	0.254958	0.398335	-1.667397	-1.129073	0.613146
73	1.534723	0.282943	-0.144302	-0.275403	0.117513	-0.402974	-0.985387	-0.758298	-0.414176	-1.025631	0.007992	-2.010123
74	-1.028695	-1.150909	-0.847361	-0.825923	0.338716	-0.304622	-0.311117	-1.786284	-1.573914	-0.431739	-2.537307	-0.989704
75	-0.975526	0.496863	-0.797831	-0.763347	-0.536132	-0.942660	-3.084210	-1.196477	-0.499800	0.617755	-1.903824	-1.922460
76	-0.282025	0.161916	0.787395	-0.676361	-0.278688	-0.466913	-1.979252	-1.297518	0.981006	-0.964904	-2.276900	-1.550862
77	-1.476892	-0.029303	-0.533477	-0.621718	-0.500722	-0.456669	-1.980111	0.089030	-2.583778	-0.839587	-0.098956	-2.139737
78	-1.052976	-0.647943	-0.104900	-0.483097	-0.530987	-0.449404	-0.990789	-1.565309	-1.559797	-1.270046	0.830572	-1.224898
79	-0.669976	-0.643871	-1.011608	-0.546001	-0.358627	-0.404585	-0.224893	-2.991638	-1.885404	-2.124153	-1.365651	-1.146293
80	-0.465545	0.881389	0.028531	-0.417519	-0.569417	-0.517743	-0.486282	-1.798725	-1.052649	-1.172825	-1.611828	0.011109
81	1.267566	0.250525	0.270528	-0.356506	-0.463065	-0.517700	-1.854409	-1.408434	-2.789216	-0.957154	0.010893	-2.841498
82	0.402914	0.287711	-0.598977	-0.501386	-0.607721	-0.585250	0.625653	-1.168582	0.192108	-1.979987	-1.231124	-1.092907
83	2.414232	1.650272	1.330364	-0.533483	0.041022	-0.647960	-1.627706	0.159656	-1.603604	-1.561149	-1.442004	-0.932816
84	-2.718571	-0.724330	0.495726	-0.273172	-0.972394	-0.798702	-1.832845	-0.385701	-2.830144	0.129561	0.125905	-1.231174
85	-1.232900	0.328375	0.122211	-0.663148	-0.563745	-0.676016	-3.099551	-0.356892	-1.127431	-2.688597	-1.131845	-1.192101
86	-1.572722	1.490399	-1.088601	-0.066114	-0.966118	-0.421281	-0.579297	-0.809037	-2.183383	-0.127362	1.093498	-0.884221
87	0.741983	-1.575205	-0.778918	-0.320384	-0.374755	-0.408721	-2.190358	-0.559550	-1.625833	-0.769965	-0.374490	-1.441764
88	-0.187950	1.747256	0.590950	-0.618855	-0.405866	-0.403602	-2.792324	-1.013781	-0.710521	-0.503551	-1.246150	-1.316873
89	0.628933	-1.639944	0.301853	-0.306291	-0.426906	-0.887564	-1.601463	0.006193	-1.198354	-0.794856	-2.148590	-0.214611
90	-0.578112	0.314431	-0.816915	-0.618683	0.158597	-0.406532	-1.526131	-2.073800	1.780583	-1.805691	-1.486280	-1.047686
91	0.976795	0.236548	1.083266	-0.723898	-0.929873	-0.510944	-1.146788	-2.212844	-0.303276	-2.790298	-0.267982	1.134093
92	1.863008	0.737284	-0.159606	-0.796294	-0.588374	-0.343550	-2.664426	-0.706819	0.006646	-0.430412	-0.211589	-1.230814
93	0.918597	-1.433421	-0.507173	-0.225436	0.146620	-0.678153	-0.429874	-1.318414	-0.514621	-1.138931	-0.913247	-0.527975
94	0.294759	0.195650	0.909792	-0.240636	-0.214381	-0.166618	-0.971530	-0.922100	0.005496	-0.451498	-1.276632	-1.065815
95	1.443702	0.408986	0.926343	-0.241448	-0.476881	-0.485678	-2.263835	-1.525159	-1.294741	-0.369580	-0.356109	-1.399784
96	-0.318398	0.625362	-1.222302	-0.653401	-0.245822	-0.137460	-2.678613	-1.712798	0.261292	-0.684931	-1.599405	-0.218652
97	0.206857	0.864365	-2.126218	-0.132178	-0.604968	-0.227013	-0.148542	0.096178	-3.823078	-2.127042	-3.628864	-1.072856
98	0.598027	-0.613991	0.412278	0.045134	-0.475071	-0.603000	-0.470830	-1.165283	-1.550984	-0.685010	-2.038860	0.035251
99	-1.149854	-0.430796	0.522516	-0.480752	-0.897898	-0.561607	-1.995512	-2.068354	-1.488876	-0.363343	-0.319637	-0.685511
100	-0.356971	-0.775047	1.397031	-0.704108	-0.745804	-0.511811	-1.852869	-2.107206	-0.778413	-1.075096	-1.233750	0.334383
